dataset,topk,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,20,distance,100.0,1.0,0.6586327829377366,0.985,0.4964895104895104,0.963886217948718,1.0,0.32,0.9844945669174194,0.30890169739723206,0.9896695017814636,20.0,0.0088,1936.0,0.004979338842975205,1926.36
syn4,20,gnnexplainer,100.0,1.0,0.7777249590794483,0.985,0.6544951714951713,0.9658718814968816,1.0,0.18,0.983522891998291,0.17702114582061768,0.9907645583152771,17.88,2.7644,1936.0,0.9898863636363642,19.58
syn4,20,ig_node,100.0,1.0,0.7098010438993413,0.99,0.5561808191808191,0.994579868329868,1.0,0.02,0.9844945669174194,0.07810179889202118,0.9897934794425964,19.76,0.1481,1936.0,0.35747933884297495,1243.92
syn4,20,occlusion,100.0,1.0,0.38655056982920755,0.6416666666666667,0.27697610722610716,0.719878075190575,0.98,0.83,0.9729357361793518,0.8245094418525696,0.9896695017814636,20.0,0.0768,1936.0,0.0010743801652892315,1933.92
syn4,20,pagerank,100.0,1.0,0.7474264705882352,0.9983333333333334,0.5973636363636363,0.9986235273735276,1.0,0.02,0.9844945669174194,0.015328807756304741,0.9896695017814636,20.0,0.012,1936.0,0.0012086776859503957,1933.66
syn4,20,pgmexplainer,100.0,1.0,0.7586247575953458,1.0,0.6139675324675324,0.9998596673596674,1.0,0.01,0.9844944477081299,0.005887738429009914,0.9899793863296509,19.4,7.2863,1936.0,0.985082644628099,28.88
syn4,20,random,100.0,1.0,0.009999999999999998,0.021666666666666664,0.0065000000000000014,0.5002492636867637,0.04,1.0,0.04832598567008972,0.9844953417778015,0.9896695017814636,20.0,0.0,1936.0,0.0005165289256198191,1935.0
syn4,20,sa_node,100.0,1.0,0.08444444444444443,0.13166666666666665,0.062179487179487174,0.5615990990990992,0.06,1.0,0.19685649871826172,0.9844945669174194,0.9896695017814636,20.0,0.0035,1936.0,0.0013533057851239606,1933.38
syn4,20,subgraphx,100.0,1.0,0.7218181818181816,0.6133333333333334,0.8809999999999999,-1.0,1.0,1.0,0.9844945669174194,0.9489234089851379,0.9956300258636475,8.46,0.2724,1936.0,0.9956301652892579,8.46
syn4,40,distance,100.0,1.0,0.40227697760264997,1.0,0.25196071802593534,0.9981382103257102,1.0,0.01,0.9844945669174194,0.00485664838925004,0.9793387651443481,40.0,0.0066,1936.0,0.004979338842975205,1926.36
syn4,40,gnnexplainer,100.0,1.0,0.7796968542069497,1.0,0.6539945789504614,0.9980624133749134,1.0,0.0,0.9844945669174194,0.0,0.989886462688446,19.58,2.5904,1936.0,0.9898863636363642,19.58
syn4,40,ig_node,100.0,1.0,0.5043981594745501,0.9983333333333333,0.35195497144529986,0.9987092862092859,1.0,0.0,0.9844944477081299,0.031191760674118996,0.982107400894165,34.64,0.2083,1936.0,0.35747933884297495,1243.92
syn4,40,occlusion,100.0,1.0,0.24423856101749025,0.6416666666666667,0.15089311107571976,0.7169891285516283,0.99,0.83,0.9792123436927795,0.8245094418525696,0.9793387651443481,40.0,0.0884,1936.0,0.0010743801652892315,1933.92
