index,dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
57,actor,False,True,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.3977096676826477,0.9134605526924133,5271.81,5330.01,7.596861917671471,0.25369616208762863,5271.81,7.59584520633494,0.2550207155781917,31.7686,60918.0,0.9125051708854527,5330.01
58,actor,False,True,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.64,0.65,0.3724779486656189,0.3171645402908325,0.7000064849853516,18275.0,60855.62,10.824148723260675,0.45385437677506885,18275.0,9.808075142476547,0.8453148634038767,0.0006,60918.0,0.0010239994747037007,60855.62
59,actor,False,True,0.7,sa,100.0,-1.0,-1.0,-1.0,-1.0,1.0,0.64,0.26001858711242676,0.3402027487754822,0.8098180890083313,11585.5,30711.94,9.07583905280024,0.5444931840978555,11585.5,8.536580102846012,0.5473757082427677,0.0289,60918.0,0.49584786105912854,30711.94
60,actor,False,True,0.99,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.87,0.7,0.27142468094825745,0.38039153814315796,0.9947157502174377,321.91,1208.43,5.290558300976866,0.7072021167924408,321.91,4.851642657779597,0.7114878392138515,3.6886,60918.0,0.9801630060080769,1208.43
61,actor,False,True,0.99,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.92,0.55,0.23118184506893158,0.43171700835227966,0.9900029897689819,609.0,60913.74,10.960461184489214,0.11051127355757114,609.0,6.37430449359403,0.27522172619047625,0.7327,60918.0,6.993006993007645e-05,60913.74
62,actor,False,True,0.99,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.87,0.22,0.24029354751110077,0.5175316333770752,0.9947157502174377,321.91,1208.43,4.582930521222771,0.0671996396596972,321.91,4.255486381009619,0.11113975901590833,3.6337,60918.0,0.9801630060080769,1208.43
63,actor,False,True,0.99,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.97,0.57,0.20805500447750092,0.4144379794597626,0.9925174117088318,455.83,39782.89,8.61787465864517,0.1094562080542481,455.83,5.381329994370343,0.11472573266156438,0.0052,60918.0,0.34694359630979393,39782.89
64,actor,False,True,0.99,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.53,0.231205552816391,0.427520751953125,0.9900029897689819,609.0,60916.1,10.971590174998028,0.1605919220008879,609.0,6.275714446228535,0.20560451437528296,0.2221,60918.0,3.118946780918841e-05,60916.1
65,actor,False,True,0.99,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.5,0.24217332899570465,0.4717909097671509,0.9947157502174377,321.91,1208.43,5.725024465526722,0.82303940839564,321.91,5.286018417930644,0.8232784939103209,2.6449,60918.0,0.9801630060080769,1208.43
66,actor,False,True,0.99,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.98,0.68,0.19939754903316498,0.39714282751083374,0.9900029897689819,609.0,16493.8,8.544326611459688,0.001299857828665019,609.0,5.834749848674104,0.044092095487917156,0.793,60918.0,0.7292458714993925,16493.8
