dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges
syn1,False,True,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.68,0.23319320380687714,0.5876887440681458,2999.84,6.340081588738761,0.0010067343477517393,1.0,0.0,1.0,0.0181,4110.0
syn1,False,True,1.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.68,0.00016460656479466707,0.5570504665374756,754.58,5.421670739800716,0.0038299312598862913,1.0,0.0,1.0,82.1614,4110.0
syn1,False,True,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.18645457923412323,0.5777198672294617,701.42,5.676529521759492,0.2354743747555898,1.0,0.0,1.0,3.2234,4110.0
syn1,False,True,1.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24031905829906464,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,1.0,0.0,1.0,0.0001,4110.0
syn1,False,True,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.37684714794158936,0.5750927329063416,3384.78,7.424401001395878,0.8066358438907816,1.0,0.0,1.0,0.0063,4110.0
syn1,False,True,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.17825420200824738,0.565523087978363,9.24,1.9907367269862852,1.0,0.97,0.0,1.0,0.2522,4110.0
syn1,False,True,5.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.27,0.66,0.18208914995193481,0.5671184659004211,249.76,3.4760666356817502,0.3406316412263825,5.0,1.5924737187723474,0.9959790887422554,3.3017,4110.0
syn1,False,True,5.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.32,0.74,0.21465960144996643,0.6225916147232056,4053.49,8.17984190538191,0.07753128861174101,5.0,1.5410421189647188,0.7176170634920633,0.0124,4110.0
syn1,False,True,5.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.68,0.13164924085140228,0.5881555676460266,4104.06,8.133763279122341,0.8034724727829671,5.0,1.6091088379249714,0.9803528548431732,0.2704,4110.0
syn1,False,True,5.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.4150903820991516,0.21869660913944244,4108.95,8.311185367201626,0.8961034449511913,5.0,1.6065818051398555,0.9079833218712922,0.5389,4110.0
syn1,False,True,5.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.67,0.51,0.555387020111084,0.34781593084335327,2999.84,6.340081588738761,0.0010067343477517393,5.0,1.6061911218877074,0.9195080710414237,0.0181,4110.0
syn1,False,True,5.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.01,0.68,0.005413712467998266,0.5586449503898621,754.58,5.421670739800716,0.0038299312598862913,5.0,1.6094054931347417,0.9863767051835345,82.1614,4110.0
syn1,False,True,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.43,0.74,0.34473296999931335,0.5606541633605957,701.42,5.676529521759492,0.2354743747555898,5.0,1.6081351716952517,0.9577668668586016,3.2234,4110.0
syn1,False,True,5.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24031905829906464,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,5.0,1.6094378360393988,0.9991369754204746,0.0001,4110.0
syn1,False,True,5.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.68,0.34652918577194214,0.5879871845245361,3384.78,7.424401001395878,0.8066358438907816,5.0,1.6087543119726029,0.9717331821439302,0.0063,4110.0
syn1,False,True,5.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.39,0.7,0.3332432806491852,0.5821899771690369,9.24,1.9907367269862852,1.0,4.0,1.3426411697146114,1.0,0.2522,4110.0
syn1,False,True,10.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.61,0.2814773619174957,0.542037844657898,249.76,3.4760666356817502,0.3406316412263825,10.0,2.1707255318951004,0.913137345466992,3.3017,4110.0
syn1,False,True,10.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.53,0.4077862799167633,0.38615623116493225,4053.49,8.17984190538191,0.07753128861174101,10.0,2.2081259143166023,0.43748634920634905,0.0124,4110.0
syn1,False,True,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.13290223479270935,0.579048216342926,4104.06,8.133763279122341,0.8034724727829671,10.0,2.300685315834815,0.9422764102332966,0.2704,4110.0
syn1,False,True,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.28,0.415090411901474,0.21869660913944244,4108.95,8.311185367201626,0.8961034449511913,10.0,2.3002430839874863,0.9073332328193559,0.5389,4110.0
syn1,False,True,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.68,0.19,0.5570504665374756,0.12915252149105072,2999.84,6.340081588738761,0.0010067343477517393,10.0,2.280606090074633,0.6304663739721823,0.0181,4110.0
syn1,False,True,10.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.01,0.68,0.00955950003117323,0.5599306225776672,754.58,5.421670739800716,0.0038299312598862913,10.0,2.3024692244810443,0.964676312792121,82.1614,4110.0
syn1,False,True,10.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.44,0.40129175782203674,0.37561747431755066,701.42,5.676529521759492,0.2354743747555898,10.0,2.2954918570077014,0.830606040137937,3.2234,4110.0
syn1,False,True,10.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.2403196543455124,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,10.0,2.302584827040839,0.998306229599291,0.0001,4110.0
syn1,False,True,10.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.5,0.68,0.3448898196220398,0.5798196792602539,3384.78,7.424401001395878,0.8066358438907816,10.0,2.3010812237265603,0.9459902860919535,0.0063,4110.0
syn1,False,True,10.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.55,0.40743255615234375,0.4515684247016907,9.24,1.9907367269862852,1.0,7.4,1.8285587808287984,1.0,0.2522,4110.0
