dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,6.0,distance,20.0,0.2,0.75,0.0778655931353569,0.5349620580673218,-1.0,-1.0,-1.0,-1.0,0.6884848484848484,0.7791666666666667,0.6249999999999999,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,6.0,1.7162857411113357,0.6065585317460318,0.1919047619047619,0.0145,4110.0
syn1,True,True,6.0,gnnexplainer,20.0,0.3,0.6,0.14962956309318542,0.46448126435279846,-1.0,-1.0,-1.0,-1.0,0.2946969696969697,0.3233333333333333,0.275,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,6.0,1.7305040197844288,0.944496702353719,0.3576154401154401,3.1841,4110.0
syn1,True,True,6.0,ig,20.0,0.1,0.55,-0.01410406082868576,0.4657837748527527,-1.0,-1.0,-1.0,-1.0,0.06666666666666667,0.1,0.05,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,6.0,1.7915993259203706,0.9880612490279906,0.31916666666666665,0.1724,4110.0
syn1,True,True,6.0,occlusion,20.0,0.45,0.2,0.38599568605422974,0.10226394981145859,-1.0,-1.0,-1.0,-1.0,0.175,0.175,0.175,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,6.0,1.7899047298336064,0.9309543665631155,0.30630952380952375,0.6812,4110.0
syn1,True,True,6.0,pagerank,20.0,0.55,0.55,0.45088034868240356,0.20435352623462677,-1.0,-1.0,-1.0,-1.0,0.6666666666666665,1.0,0.5,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,6.0,1.7869991869531865,0.8149969516820171,0.2583333333333333,0.0287,4110.0
syn1,True,True,6.0,pgexplainer,20.0,0.05,0.55,0.026425471529364586,0.4426844120025635,-1.0,-1.0,-1.0,-1.0,0.01111111111111111,0.016666666666666666,0.008333333333333333,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,6.0,1.791738103103711,0.9858531217083414,0.5,49.9946,4110.0
syn1,True,True,6.0,pgmexplainer,20.0,0.3,0.8,0.21025006473064423,0.49493712186813354,-1.0,-1.0,-1.0,-1.0,0.47777777777777775,0.7166666666666666,0.3583333333333333,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,6.0,1.7908251621314353,0.9443715854999668,0.2875,3.1267,4110.0
syn1,True,True,6.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,6.0,1.7917593784291803,0.9989092210064865,0.4931818181818183,0.0002,4110.0
syn1,True,True,6.0,sa,20.0,0.55,0.55,0.3542402386665344,0.4661194682121277,-1.0,-1.0,-1.0,-1.0,0.06666666666666667,0.1,0.05,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,6.0,1.7914158932662694,0.98320061075341,0.32249999999999995,0.0036,4110.0
syn1,True,True,6.0,subgraphx,20.0,0.55,0.6,0.35419851541519165,0.4475504457950592,-1.0,-1.0,-1.0,-1.0,0.6063203463203465,0.925,0.4999999999999999,9.6,1.9908069252710916,1.0,0.2766666666666667,4.8,1.4621757826276216,1.0,0.28750000000000003,0.1252,4110.0
syn1,True,True,7.0,basic_gnnexplainer,20.0,0.2,0.65,0.09949488937854767,0.48037537932395935,-1.0,-1.0,-1.0,-1.0,0.31953379953379957,0.3384523809523809,0.3083333333333334,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,7.0,1.9023676341756457,0.9931047708300854,0.33624042624042627,3.2343,4110.0
syn1,True,True,7.0,distance,20.0,0.2,0.85,0.13380873203277588,0.6043182015419006,-1.0,-1.0,-1.0,-1.0,0.7087878787878787,0.7536904761904764,0.675,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,7.0,1.8671596701949098,0.6065585317460318,0.17767857142857146,0.0145,4110.0
syn1,True,True,7.0,gnnexplainer,20.0,0.25,0.6,0.10572998225688934,0.4675357937812805,-1.0,-1.0,-1.0,-1.0,0.3133682983682983,0.32404761904761903,0.3083333333333333,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,7.0,1.8625716608404574,0.9434108480684273,0.328465700965701,3.1841,4110.0
