dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,num_test_y,time,number_of_edges
actor,False,True,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.5,0.17280104756355286,0.1505921483039856,100.0,60917.0,11.014766968151156,0.36380117165456105,100.0,1.0,0.0,1.0,100.0,0.2424,60918.0
actor,False,True,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.58,0.39,0.13743507862091064,0.09108445048332214,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,1.0,0.0,1.0,100.0,2.6204,60918.0
actor,False,True,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.3,0.13074293732643127,0.0765933245420456,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,1.0,0.0,1.0,100.0,1.0411,60918.0
actor,False,True,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.54,0.28,0.132243812084198,0.07434842735528946,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,1.0,0.0,1.0,100.0,53.4335,60918.0
actor,False,True,1.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.42,0.12213830649852753,0.11338868737220764,100.0,60855.62,10.824148723260675,0.45385437677506885,100.0,1.0,0.0,1.0,100.0,0.0007,60918.0
actor,False,True,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.2,0.17280106246471405,0.12133314460515976,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,1.0,0.0,1.0,100.0,0.0323,60918.0
actor,False,True,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.6333333333333333,0.23333333333333334,0.14982494711875916,0.06689035892486572,100.0,1.2,0.09241962407465937,1.0,100.0,1.0,0.0,1.0,100.0,1463.4363,60918.0
actor,False,True,5.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.38,0.1313047856092453,0.11026852577924728,100.0,1208.43,5.232674647495783,0.6761227963033773,100.0,5.0,1.5359525038035857,0.9347932824898112,100.0,7.6367,60918.0
actor,False,True,5.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.31,0.13387632369995117,0.07394824922084808,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,5.0,1.5738826781553346,0.8757945238095239,100.0,0.8542,60918.0
actor,False,True,5.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.43,0.12,0.1274690330028534,0.08018575608730316,100.0,1208.43,4.698491413616178,0.0608685910351883,100.0,5.0,1.2980585538830938,0.47366795526339955,100.0,3.8576,60918.0
actor,False,True,5.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.14,0.13385863602161407,0.06710077077150345,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,5.0,1.5279222702917377,0.6026874011438997,100.0,0.0079,60918.0
actor,False,True,5.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.5,0.1466250866651535,0.1505921483039856,100.0,60917.0,11.014766968151156,0.36380117165456105,100.0,5.0,1.5844166280618157,0.8095362333570199,100.0,0.2424,60918.0
actor,False,True,5.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.56,0.02,0.14551495015621185,0.06370723992586136,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,4.99,1.4965882498627605,0.5591905466581159,100.0,2.6204,60918.0
actor,False,True,5.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.13191324472427368,0.07263872772455215,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,5.0,1.5748741146840592,0.6396122293092459,100.0,1.0411,60918.0
actor,False,True,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.57,0.25,0.13885322213172913,0.07074559479951859,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,5.0,1.6069092728549526,0.9171391097489228,100.0,53.4335,60918.0
actor,False,True,5.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.48,0.42,0.12213830649852753,0.11338868737220764,100.0,60855.62,10.824148723260675,0.45385437677506885,100.0,5.0,1.6094379121025548,0.999944324141659,100.0,0.0007,60918.0
