dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,num_test_y,time,number_of_edges
actor,False,False,25.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.5599999999999999,0.06000000000000001,0.12454025447368622,0.07900952510535716,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,25.0,3.1994424872750535,0.8708294763156313,0.13749213346566289,100.0,0.03968,60918.0
actor,False,False,25.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.023061557905748487,0.07796215452253819,100.0,2.5,0.5075173815233827,1.0,100.0,2.5,0.5075173815233827,1.0,0.825,100.0,3453.2971000000002,60918.0
actor,False,False,50.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.05600000000000001,0.346,0.016719936608569696,0.10590766966342927,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,46.39,3.416532525833488,0.7490528834483663,0.2746350909339504,100.0,5.6623,60918.0
actor,False,False,50.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.242,0.26999999999999996,0.054923421889543536,0.06918865442276001,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,50.0,3.846638437272211,0.42018877405002397,0.022577147357608594,100.0,0.79156,60918.0
actor,False,False,50.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.458,0.296,0.08261250406503677,0.07868314906954765,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,46.19600000000001,2.5774826624771086,0.08076397557186112,0.09339480992805474,100.0,4.56018,60918.0
actor,False,False,50.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.252,0.07867379933595657,0.051316529512405396,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,45.568,3.4269293707341943,0.2412387927730399,0.07648546266955175,100.0,0.00598,60918.0
actor,False,False,50.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.36,0.11076199822127819,0.11471726149320602,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,50.0,3.8230314250583115,0.4251867731824599,0.10396844421742155,100.0,0.35788000000000003,60918.0
actor,False,False,50.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.626,0.034,0.11466845124959946,0.03520062528550625,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,46.16000000000001,3.640626762702997,0.48248282319856867,0.07319991368461017,100.0,4.09246,60918.0
actor,False,False,50.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.20400000000000001,0.30599999999999994,0.059622251927885374,0.06426910310983658,100.0,16935.738,8.549755457497303,0.0020192287730140175,100.0,50.0,3.6265414443984647,0.208346867703629,0.048939124712800854,100.0,0.88398,60918.0
actor,False,False,50.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.030000000000000006,0.41200000000000003,0.013633712381124496,0.09420619904994965,100.0,716.5959999999999,4.781325241286612,0.04003723587106579,100.0,45.762,3.5875253394162896,0.37537862230745017,0.7417132029139578,100.0,0.65502,60918.0
actor,False,False,50.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.202,0.25,0.06016732901334763,0.05867288187146187,100.0,6354.61,7.690641603094939,0.22860147181225732,100.0,49.092,3.857902381118508,0.7204456919065546,0.4270453077076445,100.0,55.812979999999996,60918.0
actor,False,False,50.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.24899999999999994,0.35799999999999993,0.04802948893047869,0.11895205676555634,100.0,60856.35800000002,10.824127030536014,0.5060825271054753,100.0,50.0,3.912022976236753,0.9994395642398824,0.5190157930173278,100.0,0.0006,60918.0
actor,False,False,50.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.6,0.06000000000000001,0.12495137825608253,0.0785643506795168,100.0,27882.98,8.969567860269887,0.47558345241261807,100.0,50.0,3.871119640398864,0.8154380730212996,0.10763965321485727,100.0,0.03968,60918.0
actor,False,False,50.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.15,0.023061557905748487,0.07796215452253819,100.0,2.5,0.5075173815233827,1.0,100.0,2.5,0.5075173815233827,1.0,0.825,100.0,3453.2971000000002,60918.0
actor,False,False,100.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.08600000000000001,0.32199999999999995,0.02341509810066782,0.09911003410816192,100.0,1841.256,5.728820744278332,0.725068272837227,100.0,87.44000000000001,3.9602591985123032,0.7445540778846174,0.19972168063602275,100.0,5.6623,60918.0
actor,False,False,100.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.246,0.272,0.058596760779619214,0.06407373324036598,100.0,60913.63999999999,10.959247404099623,0.11622739333345829,100.0,100.0,4.548328387621188,0.37706219439634436,0.011372285701837783,100.0,0.79156,60918.0
actor,False,False,100.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.296,0.08243176490068435,0.07879926785826682,100.0,1672.486,5.04743683104715,0.05901084398647379,100.0,86.874,3.0940082772339728,0.06847730261355753,0.08053012158994133,100.0,4.56018,60918.0
actor,False,False,100.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.386,0.25,0.07880229204893112,0.05070719942450523,100.0,33070.77,7.954254141961384,0.151472081932289,100.0,85.98400000000001,3.9498871579908394,0.19383658645875437,0.06648590349361692,100.0,0.00598,60918.0
actor,False,False,100.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.4,0.34,0.1107618611305952,0.11330886781215668,100.0,51363.979999999996,10.405149210746501,0.24284995150386274,100.0,100.0,4.507553168757559,0.37155996784523,0.07319141360953252,100.0,0.35788000000000003,60918.0
actor,False,False,100.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.62,0.034,0.1156479224562645,0.034399332478642464,100.0,1672.45,5.92559470922488,0.4763237731254383,100.0,86.83800000000001,4.229062518653414,0.47900290524385325,0.05731839376486704,100.0,4.09246,60918.0
