,balanced_acc,dataset,datatype,explainer,f1_score,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,num_explained_y_with_acc,precision,pred_type,recall,roc_auc_score,time,top_balanced_acc,top_f1_score,top_precision,top_recall,top_roc_auc_score,topk,seed,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device
2584,0.6716825082811926,ba_2motifs,binary,sa,0.4846801093643198,,,,,model,2.1735093707997577,soft,9.0,0.8232198263920953,0.6480172429137597,gin,100,100,0.5277777777777777,mix,0.4497202797202798,0.680924276162434,0.0013,0.6716825082811926,0.4846801093643198,0.5277777777777777,0.4497202797202798,0.680924276162434,8.0,2,0.85,0.51,0.8290002346038818,0.5139776468276978,
2585,0.680066280211017,ba_2motifs,binary,sa,0.4947374364765668,,,,,model,2.27509348064794,soft,10.0,0.8035775848801048,0.5858358340589049,gin,100,100,0.509,mix,0.483053613053613,0.6911991044043675,0.0013,0.680066280211017,0.4947374364765668,0.509,0.483053613053613,0.6911991044043675,9.0,2,0.85,0.51,0.8230565786361694,0.5148281455039978,
2586,0.6725750521408415,ba_2motifs,binary,sa,0.4797553171466214,,,,,model,2.366787514592224,soft,11.0,0.783935343368117,0.5805993201238344,gin,100,100,0.4709090909090909,mix,0.4908869463869463,0.6887864326463011,0.0013,0.6725750521408415,0.4797553171466214,0.4709090909090909,0.4908869463869463,0.6887864326463011,10.0,2,0.85,0.51,0.826160728931427,0.5152881145477295,
2587,0.6291003557845661,ba_2motifs,binary,sa,0.4145598080080838,,,,,model,2.7329634314951226,soft,16.0,0.68572413580817,0.554737769457344,gin,100,100,0.345625,mix,0.5204638694638694,0.6722306312108944,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,15.0,2,0.79,0.51,0.7712259888648987,0.514309823513031,
2588,0.5953525487670223,ba_2motifs,binary,sa,0.3802256555114714,,,,,model,3.001616146336662,soft,21.0,0.587512928248222,0.5451991946511332,gin,100,100,0.2871428571428571,mix,0.5657972027972027,0.6625697015703593,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,20.0,2,0.79,0.51,0.7699824571609497,0.5131101012229919,
2589,0.5666265182186233,ba_2motifs,binary,sa,0.3594772100035258,,,,,model,3.211997031045113,soft,26.0,0.4893017206882749,0.5275685343566273,gin,100,100,0.2538461538461538,mix,0.6193846153846153,0.6547802232854866,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,25.0,2,0.75,0.51,0.7363550662994385,0.5124252438545227,
2590,0.4861808367071525,ba_2motifs,binary,sa,0.343656652600479,,,,,model,3.755995866313045,soft,48.67,0.0444618770585156,0.4159939189240419,gin,100,100,0.2107292956181154,mix,0.9352564102564104,0.6188962151883204,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,50.0,2,0.53,0.51,0.5308691263198853,0.5099895596504211,
2591,0.4861808367071525,ba_2motifs,binary,sa,0.343656652600479,,,,,model,3.755995866313045,soft,48.67,0.0444618770585156,0.4159939189240419,gin,100,100,0.2107292956181154,mix,0.9352564102564104,0.6188962151883204,0.0013,0.6681793031529872,0.4810916954221301,0.4602172827172828,0.5039638694638694,0.686068683290394,100.0,2,0.53,0.51,0.5308691263198853,0.5099895596504211,
2592,0.4859066985645933,ba_2motifs,binary,sa,0.3429186947646347,,,,,model,3.75645722170378,soft,48.61,0.0459689475790315,0.4055666859844715,gin,100,100,0.2103076702827937,mix,0.9331818181818182,0.6191000368053,0.0022,0.6675385995583363,0.4798731999079825,0.4590001665001665,0.5027482517482518,0.6841663185498713,,3,0.53,0.51,0.5289380550384521,0.5124837160110474,
2593,0.5861975524475525,ba_2motifs,binary,sa,0.295076923076923,,,,,model,0.6929706120060787,soft,2.0,0.9607305999322802,0.9957388043787928,gin,100,100,0.95,mix,0.1748951048951049,0.5861975524475525,0.0022,0.5861975524475525,0.295076923076923,0.95,0.1748951048951049,0.5861975524475525,1.0,3,0.85,0.51,0.840750515460968,0.5020247101783752,
2594,0.6030879953379953,ba_2motifs,binary,sa,0.3460421245421245,,,,,model,1.094581676333209,soft,3.0,0.9410958998984204,0.9941210892264404,gin,100,100,0.7933333333333333,mix,0.2216759906759907,0.6041046620046621,0.0022,0.6030879953379953,0.3460421245421245,0.7933333333333333,0.2216759906759907,0.6041046620046621,2.0,3,0.85,0.51,0.8367396593093872,0.5054330229759216,
