,dataset,datatype,explainer,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,focus,mask_entropy,mask_nature,mask_size,mask_sparsity,max_avg,model,num_explained_y_fid,pred_type,time,topk,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,device,seed
845,mutag,binary,subgraphx,,,,,model,2.80428127887146,hard,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,25.0,0.09,0.1,0.0599351152777671,0.1761350184679031,,
846,mutag,binary,subgraphx,,,,,model,2.80428127887146,hard,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,50.0,0.09,0.1,0.0599351152777671,0.1761350184679031,,
847,mutag,binary,subgraphx,,,,,model,2.80428127887146,hard,16.88,0.615413821105876,1.0,gat,100,mix,13.8959,100.0,0.09,0.1,0.0599351152777671,0.1761350184679031,,
848,mutag,binary,subgraphx,0.02,0.11,-0.0040270159952342,-0.0662028864026069,phenomenon,2.8141295429539714,soft,17.08,0.6072074124539295,1.0,gat,100,mix,13.9671,,,,,,,
849,mutag,binary,subgraphx,0.01,0.11,-0.0007465815288014,-0.0746313035488128,phenomenon,0.6931471805599458,soft,2.0,0.9527822246321612,1.0,gat,100,mix,13.9671,1.0,,,,,,
850,mutag,binary,subgraphx,0.01,0.11,-0.0009162729838863,-0.0749671086668968,phenomenon,1.0986122886681082,soft,3.0,0.9291733369482424,1.0,gat,100,mix,13.9671,2.0,,,,,,
851,mutag,binary,subgraphx,0.02,0.11,-0.0020045884884893,-0.0737398266792297,phenomenon,1.3862943611198917,soft,4.0,0.9055644492643232,1.0,gat,100,mix,13.9671,3.0,,,,,,
852,mutag,binary,subgraphx,0.02,0.1,-0.0050120111554861,-0.0721058398485183,phenomenon,1.6094379124340994,soft,5.0,0.8819555615804052,1.0,gat,100,mix,13.9671,4.0,,,,,,
853,mutag,binary,subgraphx,0.01,0.1,-0.0049900072626769,-0.0717820897698402,phenomenon,1.7917594692280547,soft,6.0,0.8583466738964854,1.0,gat,100,mix,13.9671,5.0,,,,,,
854,mutag,binary,subgraphx,0.01,0.1,-0.0042398371733725,-0.0706592500209808,phenomenon,1.9428271354587696,soft,6.98,0.835330734930516,1.0,gat,100,mix,13.9671,6.0,,,,,,
855,mutag,binary,subgraphx,0.02,0.11,-0.0042102853767573,-0.0703212991356849,phenomenon,2.073687900230804,soft,7.96,0.8123147959645455,1.0,gat,100,mix,13.9671,7.0,,,,,,
856,mutag,binary,subgraphx,0.02,0.11,-0.004927281755954,-0.0684750601649284,phenomenon,2.1820482930346703,soft,8.88,0.7916431793428973,1.0,gat,100,mix,13.9671,8.0,,,,,,
