dataset,threshold,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn4,0.5,sa_node,100.0,1.0,0.0043565660730456824,0.3516666666666668,0.002191859805343507,0.13290887040887037,0.99,1.0,0.8561467528343201,0.9813050031661987,0.0056404913775622845,1925.08,0.0029,1936.0,0.0013533057851239606,1933.38
syn4,0.5,subgraphx,100.0,1.0,0.7019999999999998,0.5966666666666666,0.8565,0.7979954954954954,1.0,1.0,0.9844945669174194,0.9489234089851379,0.9956300258636475,8.46,0.242,1936.0,0.9956301652892579,8.46
syn4,0.8,distance,100.0,1.0,0.4872222222222223,0.3333333333333334,0.9233333333333333,0.583273562023562,0.77,1.0,0.6813338398933411,0.9844945669174194,0.9988482594490051,2.23,0.0087,1936.0,0.004979338842975205,1926.36
syn4,0.8,gnnexplainer,100.0,1.0,0.6242745032745032,0.6349999999999999,0.6521349206349207,0.6963303447678448,0.88,0.99,0.8476892709732056,0.9564644694328308,0.9960846900939941,7.58,2.7121,1936.0,0.9898863636363642,19.58
syn4,0.8,ig_node,100.0,1.0,0.6275714285714286,0.475,0.9933333333333333,0.7374861399861401,0.95,0.98,0.931444525718689,0.9097992777824402,0.9970142841339111,5.78,0.1507,1936.0,0.35747933884297495,1243.92
syn4,0.8,occlusion,100.0,1.0,0.3973174603174603,0.2583333333333333,0.9933333333333333,0.5816627685377685,0.99,1.0,0.9730387330055237,0.9780464768409729,0.9989771842956543,1.98,0.0646,1936.0,0.0010743801652892315,1933.92
syn4,0.8,pagerank,100.0,1.0,0.4872222222222223,0.3333333333333334,0.9233333333333333,0.6665748440748444,1.0,1.0,0.9844945669174194,0.8602080345153809,0.9976962208747864,4.46,0.0138,1936.0,0.0012086776859503957,1933.66
syn4,0.8,pgmexplainer,100.0,1.0,0.894187028657617,1.0,0.8177878787878788,0.9999107761607762,1.0,0.04,0.9844937324523926,0.03866749629378319,0.9922211170196533,15.06,6.8096,1936.0,0.985082644628099,28.88
syn4,0.8,random,100.0,1.0,0.011969579438935144,0.3533333333333333,0.0060881357143249696,0.49735317047817057,0.52,1.0,0.5039753317832947,0.9828872084617615,0.8007283210754395,385.79,0.0,1936.0,0.0005165289256198191,1935.0
syn4,0.8,sa_node,100.0,1.0,0.10097138798138998,0.1733333333333333,0.1906564391148652,0.2937101524601525,0.28,1.0,0.31965306401252747,0.9844945669174194,0.39519625902175903,1170.9,0.0028,1936.0,0.0013533057851239606,1933.38
