dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn6,True,False,0.99,occlusion,100.0,0.24000000000000005,0.53,0.21820668959990144,0.4920213267207146,-1.0,-1.0,-1.0,-1.0,0.9901216626167297,39.0,3944.987,8.26478610600466,0.9299980179363209,39.0,3.6627147662282966,0.9451676209647116,0.59783,3948.0,0.0007631712259372123,3944.987
syn6,True,False,0.99,pagerank,100.0,0.604,0.026000000000000002,0.5612756550312042,0.0323259707307443,-1.0,-1.0,-1.0,-1.0,0.9901216626167297,39.0,3040.87,6.490175239492595,0.001007022407360098,39.0,3.1407605655449675,0.08842102474622235,0.02214,3948.0,0.22976950354609924,3040.87
syn6,True,False,0.99,pgmexplainer,100.0,0.548,0.128,0.5060579657554627,0.12037867531180382,-1.0,-1.0,-1.0,-1.0,0.9901216626167297,39.0,801.192,6.033144525205033,0.28679833417280853,39.0,3.6399083365191025,0.629798648821984,3.15823,3948.0,0.7970638297872341,801.192
syn6,True,False,0.99,random,100.0,0.133,0.6,0.13035822734236718,0.5602199614048005,-1.0,-1.0,-1.0,-1.0,0.9901216626167297,39.0,3943.12,8.087429080409988,0.46053142457087787,39.0,3.6635573816748797,0.9931630633655384,0.0001,3948.0,0.00123606889564336,3943.12
syn6,True,False,0.99,sa,100.0,0.001,0.604,0.001030540227657184,0.5636939108371735,-1.0,-1.0,-1.0,-1.0,0.9901216626167297,39.0,3773.754,8.068645624883311,0.8426918525406061,39.0,3.634899737670085,0.8794505244121794,0.00337,3948.0,0.0441352583586626,3773.754
syn6,True,False,0.997,basic_gnnexplainer,100.0,0.173,0.576,0.14971613958477975,0.5306751191616058,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,256.96,3.4297931387891807,0.26017338124559825,11.0,2.2311011263171103,0.9214477991397818,3.57508,3948.0,0.9349138804457955,256.96
syn6,True,False,0.997,distance,100.0,0.379,0.5519999999999999,0.2967328816652298,0.5078971087932587,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3810.619,8.119686339510338,0.0691756972789115,11.0,2.2930726935745795,0.366760357142857,0.01261,3948.0,0.03479761904761906,3810.619
syn6,True,False,0.997,gnnexplainer,100.0,0.163,0.571,0.14303183555603027,0.5317841082811355,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,256.96,3.4119693605583015,0.25419246446655064,11.0,2.2221873414918223,0.9146607343651867,3.18675,3948.0,0.9349138804457955,256.96
syn6,True,False,0.997,ig,100.0,0.122,0.6,0.11228921432048082,0.5348665714263916,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3805.704,7.998282237543366,0.44868217009579947,11.0,2.3829109248440687,0.8145098946203584,0.16738,3948.0,0.03604255319148938,3805.704
syn6,True,False,0.997,occlusion,100.0,0.24000000000000005,0.5359999999999999,0.21822911584749818,0.49704294800758364,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3944.987,8.26478610600466,0.9299980179363209,11.0,2.39604200501276,0.9456145473221664,0.62732,3948.0,0.0007631712259372123,3944.987
syn6,True,False,0.997,pagerank,100.0,0.604,0.005,0.5613826036453247,-0.0023948083398863673,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3040.87,6.490175239492595,0.001007022407360098,11.0,2.3745227859970637,0.7048508375315767,0.0205,3948.0,0.22976950354609924,3040.87
syn6,True,False,0.997,pgmexplainer,100.0,0.48100000000000004,0.253,0.4404082506895065,0.23968229293823243,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,801.192,6.033144525205033,0.28679833417280853,11.0,2.391353239805042,0.8579288570433254,3.14313,3948.0,0.7970638297872341,801.192
syn6,True,False,0.997,random,100.0,0.132,0.605,0.1291043020784855,0.5642539381980896,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3943.12,8.087429080409988,0.46053142457087787,11.0,2.397894894939168,0.9979148413237416,0.0001,3948.0,0.00123606889564336,3943.12
syn6,True,False,0.997,sa,100.0,0.001,0.604,0.0010995634802384302,0.5640710830688477,-1.0,-1.0,-1.0,-1.0,0.9972137212753296,11.0,3773.754,8.068645624883356,0.842691852665878,11.0,2.3948177629721155,0.941191920829507,0.00375,3948.0,0.0441352583586626,3773.754
syn6,True,True,0.0,basic_gnnexplainer,100.0,0.604,0.0,0.5631499648094177,0.0,-1.0,-1.0,-1.0,-1.0,0.9349138617515564,256.96,256.96,3.414436615259974,0.25235941030002645,256.96,3.414436615259974,0.25235941030002645,3.2011000000000003,3948.0,0.9349138804457955,256.96
syn6,True,True,0.0,distance,100.0,0.604,0.0,0.5631499648094177,0.0,-1.0,-1.0,-1.0,-1.0,0.0347976166754961,3810.619,3810.619,8.119686339510338,0.0691756972789115,3810.619,8.119686339510338,0.0691756972789115,0.01238,3948.0,0.03479761904761906,3810.619
syn6,True,True,0.0,gnnexplainer,100.0,0.604,0.36500000000000005,0.5631499588489532,0.3121622234582901,-1.0,-1.0,-1.0,-1.0,0.9349138617515564,256.96,256.96,3.4114018896366103,0.24857659814388872,256.96,3.4114018896366103,0.24857659814388872,4.00838,3948.0,0.9349138804457955,256.96
syn6,True,True,0.0,ig,100.0,0.508,0.144,0.47427825778722765,0.11440567868994549,-1.0,-1.0,-1.0,-1.0,0.03604254542151466,3805.704,3805.704,7.99828221420213,0.4486821685918157,3805.704,7.99828221420213,0.4486821685918157,0.22823000000000002,3948.0,0.03604255319148938,3805.704
syn6,True,True,0.0,occlusion,100.0,0.7969999999999999,0.030000000000000006,0.801354956626892,0.00025511132553219796,-1.0,-1.0,-1.0,-1.0,0.0007631910062627867,3944.987,3944.987,8.26478610600466,0.9299980179363209,3944.987,8.26478610600466,0.9299980179363209,0.6248,3948.0,0.0007631712259372123,3944.987
